Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
90,6.873902085083633,12,413.4416002830607,207.62472976653828,516.1263181430334,356.9937428214497,464,282,Nenhuma,0.8
93,7.10303215458642,1,415.8430768122813,80.71476791164785,491.54239919266814,241.27022379984186,453,160,Nenhuma,0.8
93,7.10303215458642,2,3.7649121963490657,100.005505408369,75.86669597947414,246.88917308681374,39,173,Nenhuma,0.8
93,7.10303215458642,3,113.7575025529787,55.73645409884203,171.4559614818255,145.9267037989871,142,100,Nenhuma,0.8
93,7.10303215458642,4,314.64559064894775,185.22332511386065,421.27138330608165,357.4951355021998,367,271,Nenhuma,0.8
93,7.10303215458642,10,303.93070132956495,8.857052618854631,350.0316700006146,94.93953682728383,326,51,Nenhuma,0.8
93,7.10303215458642,12,411.92629375002775,199.94610552292696,520.4043417857837,357.0525023480168,466,278,Nenhuma,0.8
96,7.332162224089208,1,419.01496001488755,80.80923900281365,497.1600416191425,247.76768420803492,458,164,Nenhuma,0.8
96,7.332162224089208,2,3.3168533366160773,85.3690777637551,84.3177949338722,248.94900064061738,43,167,Nenhuma,0.8
96,7.332162224089208,3,114.64967838996292,57.88089285282573,171.0657680722559,145.2643433889087,142,101,Nenhuma,0.8
96,7.332162224089208,4,317.4116895610473,182.3050968730378,424.6449413977013,357.31569765443703,371,269,Nenhuma,0.8
96,7.332162224089208,10,304.5781052641063,9.61839692160747,350.0573885858859,95.68074978746,327,52,Nenhuma,0.8
96,7.332162224089208,12,411.7366662804788,193.7916173627754,524.0282725531281,356.4129089019798,467,275,Nenhuma,0.8
99,7.561292293591996,1,424.13261435577954,80.24963601550192,496.60250962603556,233.34228840451524,460,156,Nenhuma,0.8
99,7.561292293591996,2,2.4631029475022572,93.20818651027956,79.29774594336945,247.8176393232032,40,170,Nenhuma,0.8
99,7.561292293591996,3,114.73858555353684,57.99541565279359,170.96269993769897,145.08146777511575,142,101,Nenhuma,0.8
99,7.561292293591996,4,324.0197185358303,178.6655798193417,428.7820980074258,354.0005034924394,376,266,Nenhuma,0.8
99,7.561292293591996,10,304.8391526862207,9.240961053747853,350.0508119349373,95.9547463485915,327,52,Nenhuma,0.8
99,7.561292293591996,12,410.51119606362874,193.41028367051425,522.4885128166582,356.16025168130625,466,274,Nenhuma,0.8
102,7.790422363094783,1,425.1075929946939,78.14247434369227,493.87553065325113,221.51149797682015,459,149,Nenhuma,0.8
102,7.790422363094783,2,2.209469708745843,97.32888894307065,77.04072885703985,247.3210269172809,39,172,Nenhuma,0.8
102,7.790422363094783,3,113.22251445972175,55.66488491925984,169.5657691433741,143.40590684190795,141,99,Nenhuma,0.8
102,7.790422363094783,4,318.58073494668815,176.12358862351152,424.8517424107617,353.9840937104656,371,265,Nenhuma,0.8
102,7.790422363094783,10,305.107096494937,9.09603299676533,349.87693968945916,96.05095132408107,327,52,Nenhuma,0.8
102,7.790422363094783,12,410.296403470779,192.67428877128702,520.8007475192734,354.74222511965866,465,273,Nenhuma,0.8
105,8.019552432597571,1,422.45056672668585,75.41054865224106,491.00180999810146,219.41944372850202,456,147,Nenhuma,0.8
105,8.019552432597571,2,1.6291141199441412,99.56764502364511,76.02449486445457,248.4597725990282,38,174,Nenhuma,0.8
